,ACC,Author,Year,Page.number,Parameter,Hard.Soft.Coral,Order,Hard.Soft.Coral.Order,Family,fam.comm,Genus,Species,Method,Method.simple,Lab.field,Time.series,Month.Before,Month.During.After,Year.Before,Year.During.After,Day.Sampled,Month.Sampled,Year.Sampled,Date.Sampled,Date.Sampled.Type,El.Nino,El.Nino.simple,La.Nina,La.Nina.simple,Measured.Before,Measured.During,Measured.After.0.6months,Measured.Duringto6mo,Measured.After.6months.2years,Depth,Latitude,Longitude,Lat.dec,Lat.abs,Long.dec,Ocean,Region,Ocean.Region,Ocean.Region.simple,Location,Source,Graphclick,Units.original,Mean_Cover_Before,SE_Cover_Before,SD_Cover_Before,Mean_Cover_Resp,SE_Cover_Resp,SD_Cover_Resp,Mean_Bleaching_Before,SE_Bleaching_Before,SD_Bleaching_Before,Mean_Bleaching_Resp,SE_Bleaching_Resp,SD_Bleaching_Resp,N_Before,N_During.After,In_Baker_2008,Comments,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
11,25,Kelmo and Atrill,2013,23,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Mussidae,family,Favia,gravida,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1998,1,May,1998,01-May-98,estimated,97/98,1998,,NA,Y,Y,,Y,,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.d,Y,% bleached,NA,,NA,NA,,NA,10.373,0.692,8.189,22.565,0,0,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",2.3745,2.553,-1,2.3745,0,NA,26.946,1.4519,1.205,28.51,3
12,25,Kelmo and Atrill,2013,24,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Mussidae,family,Favia,gravida,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1999,1,May,1999,01-May-99,estimated,97/98,1998,,NA,Y,,,,Y,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.d,Y,% bleached,NA,,NA,NA,,NA,10.373,0.692,8.189,18.539,0.589,6.696,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",0.38574,2.553,364,2.553,364,NA,26.946,1.4519,1.205,28.51,3
13,25,Kelmo and Atrill,2013,25,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Montastraeidae,family,Montastraea,cavernosa,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1998,1,May,1998,01-May-98,estimated,97/98,1998,,NA,Y,Y,,Y,,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.e,Y,% bleached,NA,,NA,NA,,NA,30.046,0,0,38.61,0,0,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",2.3745,2.553,-1,2.3745,0,NA,26.946,1.4519,1.205,28.51,3
14,25,Kelmo and Atrill,2013,26,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Montastraeidae,family,Montastraea,cavernosa,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1999,1,May,1999,01-May-99,estimated,97/98,1998,,NA,Y,,,,Y,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.e,Y,% bleached,NA,,NA,NA,,NA,30.046,0,0,23.39,0,0,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",0.38574,2.553,364,2.553,364,NA,26.946,1.4519,1.205,28.51,3
15,25,Kelmo and Atrill,2013,27,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Mussidae,family,Mussismilia,braziliensis,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1998,1,May,1998,01-May-98,estimated,97/98,1998,,NA,Y,Y,,Y,,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.f,Y,% bleached,NA,,NA,NA,,NA,28.147,0,0,44.577,0,0,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",2.3745,2.553,-1,2.3745,0,NA,26.946,1.4519,1.205,28.51,3
16,25,Kelmo and Atrill,2013,28,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Mussidae,family,Mussismilia,braziliensis,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1999,1,May,1999,01-May-99,estimated,97/98,1998,,NA,Y,,,,Y,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.f,Y,% bleached,NA,,NA,NA,,NA,28.147,0,0,30.688,0,0,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",0.38574,2.553,364,2.553,364,NA,26.946,1.4519,1.205,28.51,3
17,25,Kelmo and Atrill,2013,29,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Mussidae,family,Mussismilia,hispida,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1998,1,May,1998,01-May-98,estimated,97/98,1998,,NA,Y,Y,,Y,,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.g,Y,% bleached,NA,,NA,NA,,NA,18.286,0,0,43.406,0,0,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",2.3745,2.553,-1,2.3745,0,NA,26.946,1.4519,1.205,28.51,3
18,25,Kelmo and Atrill,2013,30,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Mussidae,family,Mussismilia,hispida,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1999,1,May,1999,01-May-99,estimated,97/98,1998,,NA,Y,,,,Y,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.g,Y,% bleached,NA,,NA,NA,,NA,18.286,0,0,27.143,0,0,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",0.38574,2.553,364,2.553,364,NA,26.946,1.4519,1.205,28.51,3
19,25,Kelmo and Atrill,2013,31,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Mussidae,family,Mussismilia,harttii,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1998,1,May,1998,01-May-98,estimated,97/98,1998,,NA,Y,Y,,Y,,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.h,Y,% bleached,NA,,NA,NA,,NA,18.609,0,0,36.237,0,0,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",2.3745,2.553,-1,2.3745,0,NA,26.946,1.4519,1.205,28.51,3
20,25,Kelmo and Atrill,2013,32,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Mussidae,family,Mussismilia,harttii,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1999,1,May,1999,01-May-99,estimated,97/98,1998,,NA,Y,,,,Y,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.h,Y,% bleached,NA,,NA,NA,,NA,18.609,0,0,29.831,0,0,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",0.38574,2.553,364,2.553,364,NA,26.946,1.4519,1.205,28.51,3
21,35,Ruzicka et al. ,2013,1,Cover,Hard,Scleractinia,Hard.Scleractinia,community,comm,NA,NA,Photo estimates,Photo.Video,Field,Y,May-August,May-August,1996,1997,30,Jun,1997,30-Jun-97,poorly estimated,97/98,1998,,NA,Y,Y,,Y,,NA,25N,81W,25,25,-81,Atlantic,Western,Atlantic.Western,Atlantic.Western,Florida Keys,Figure 2a,Y,% cover,12.494,1.544,8.734,11.885,1.438,8.135,NA,,NA,NA,NA,NA,64,64,No,,0,4.0042,-803,0,29,NA,26.229,8.2973,2.8805,29.884,8
22,35,Ruzicka et al. ,2013,3,Cover,Hard,Scleractinia,Hard.Scleractinia,community,comm,NA,NA,Photo estimates,Photo.Video,Field,Y,May-August,May-August,1996,1999,30,Jun,1999,30-Jun-99,poorly estimated,97/98,1998,,NA,Y,,,,Y,NA,25N,81W,25,25,-81,Atlantic,Western,Atlantic.Western,Atlantic.Western,Florida Keys,Figure 2a,Y,% cover,12.494,1.544,8.734,7.55,1.214,6.867,NA,,NA,NA,NA,NA,32,32,No,,0,4.0042,-73,2.7743,297,NA,26.229,8.2973,2.8805,29.884,8
23,35,Ruzicka et al. ,2013,4,Cover,Soft,NA,Soft.NA,community,comm,NA,NA,Photo estimates,Photo.Video,Field,Y,May-August,May-August,1996,1997,30,Jun,1997,30-Jun-97,poorly estimated,97/98,1998,,NA,Y,Y,,Y,,NA,25N,81W,25,25,-81,Atlantic,Western,Atlantic.Western,Atlantic.Western,Florida Keys,Figure 2a,Y,% cover,13.127,1.657,9.373,12.426,1.63,9.221,NA,,NA,NA,NA,NA,32,32,No,Soft (octocoral),0,4.0042,-803,0,29,NA,26.229,8.2973,2.8805,29.884,8
24,35,Ruzicka et al. ,2013,6,Cover,Soft,NA,Soft.NA,community,comm,NA,NA,Photo estimates,Photo.Video,Field,Y,May-August,May-August,1996,1999,30,Jun,1999,30-Jun-99,poorly estimated,97/98,1998,,NA,Y,,,,Y,NA,25N,81W,25,25,-81,Atlantic,Western,Atlantic.Western,Atlantic.Western,Florida Keys,Figure 2a,Y,% cover,13.127,1.657,9.373,9.811,1.388,7.852,NA,,NA,NA,NA,NA,32,32,No,Soft (octocoral),0,4.0042,-73,2.7743,297,NA,26.229,8.2973,2.8805,29.884,8
25,35,Ruzicka et al. ,2013,7,Cover,Hard,Scleractinia,Hard.Scleractinia,Mussidae,family,Colpophyllia,natans,Photo estimates,Photo.Video,Field,Y,May-August,May-August,1996,1997,30,Jun,1997,30-Jun-97,poorly estimated,97/98,1998,,NA,Y,Y,,Y,,NA,25N,81W,25,25,-81,Atlantic,Western,Atlantic.Western,Atlantic.Western,Florida Keys,Figure 3a,Y,% cover,0.554,0.218,1.233,0.527,0.145,0.82,NA,,NA,NA,NA,NA,32,32,No,,0,4.0042,-803,0,29,NA,26.229,8.2973,2.8805,29.884,8
26,35,Ruzicka et al. ,2013,9,Cover,Hard,Scleractinia,Hard.Scleractinia,Mussidae,family,Colpophyllia,natans,Photo estimates,Photo.Video,Field,Y,May-August,May-August,1996,1999,30,Jun,1999,30-Jun-99,poorly estimated,97/98,1998,,NA,Y,,,,Y,NA,25N,81W,25,25,-81,Atlantic,Western,Atlantic.Western,Atlantic.Western,Florida Keys,Figure 3a,Y,% cover,0.554,0.218,1.233,0.44,0.167,0.945,NA,,NA,NA,NA,NA,32,32,No,,0,4.0042,-73,2.7743,297,NA,26.229,8.2973,2.8805,29.884,8
27,35,Ruzicka et al. ,2013,10,Cover,Hard,Scleractinia,Hard.Scleractinia,Montastraeidae,family,Montastraea,cavernosa,Photo estimates,Photo.Video,Field,Y,May-August,May-August,1996,1997,30,Jun,1997,30-Jun-97,poorly estimated,97/98,1998,,NA,Y,Y,,Y,,NA,25N,81W,25,25,-81,Atlantic,Western,Atlantic.Western,Atlantic.Western,Florida Keys,Figure 3a,Y,% cover,1.706,0.613,3.468,1.235,0.446,2.523,NA,,NA,NA,NA,NA,32,32,No,,0,4.0042,-803,0,29,NA,26.229,8.2973,2.8805,29.884,8
28,35,Ruzicka et al. ,2013,12,Cover,Hard,Scleractinia,Hard.Scleractinia,Montastraeidae,family,Montastraea,cavernosa,Photo estimates,Photo.Video,Field,Y,May-August,May-August,1996,1999,30,Jun,1999,30-Jun-99,poorly estimated,97/98,1998,,NA,Y,,,,Y,NA,25N,81W,25,25,-81,Atlantic,Western,Atlantic.Western,Atlantic.Western,Florida Keys,Figure 3a,Y,% cover,1.706,0.613,3.468,1.319,0.489,2.766,NA,,NA,NA,NA,NA,32,32,No,,0,4.0042,-73,2.7743,297,NA,26.229,8.2973,2.8805,29.884,8
29,35,Ruzicka et al. ,2013,13,Cover,Hard,Scleractinia,Hard.Scleractinia,Poritidae,family,Porites,astreoides,Photo estimates,Photo.Video,Field,Y,May-August,May-August,1996,1997,30,Jun,1997,30-Jun-97,poorly estimated,97/98,1998,,NA,Y,Y,,Y,,NA,25N,81W,25,25,-81,Atlantic,Western,Atlantic.Western,Atlantic.Western,Florida Keys,Figure 3a,Y,% cover,0.58,0.139,0.786,0.627,0.139,0.786,NA,,NA,NA,NA,NA,32,32,No,,0,4.0042,-803,0,29,NA,26.229,8.2973,2.8805,29.884,8
30,35,Ruzicka et al. ,2013,15,Cover,Hard,Scleractinia,Hard.Scleractinia,Poritidae,family,Porites,astreoides,Photo estimates,Photo.Video,Field,Y,May-August,May-August,1996,1999,30,Jun,1999,30-Jun-99,poorly estimated,97/98,1998,,NA,Y,,,,Y,NA,25N,81W,25,25,-81,Atlantic,Western,Atlantic.Western,Atlantic.Western,Florida Keys,Figure 3a,Y,% cover,0.58,0.139,0.786,0.574,0.149,0.843,NA,,NA,NA,NA,NA,32,32,No,,0,4.0042,-73,2.7743,297,NA,26.229,8.2973,2.8805,29.884,8
31,35,Ruzicka et al. ,2013,16,Cover,Hard,Scleractinia,Hard.Scleractinia,Siderastreidae,family,Siderastrea,sidera,Photo estimates,Photo.Video,Field,Y,May-August,May-August,1996,1997,30,Jun,1997,30-Jun-97,poorly estimated,97/98,1998,,NA,Y,Y,,Y,,NA,25N,81W,25,25,-81,Atlantic,Western,Atlantic.Western,Atlantic.Western,Florida Keys,Figure 3a,Y,% cover,1.131,0.279,1.578,1.02,0.23,1.301,NA,,NA,NA,NA,NA,32,32,No,,0,4.0042,-803,0,29,NA,26.229,8.2973,2.8805,29.884,8
32,35,Ruzicka et al. ,2013,18,Cover,Hard,Scleractinia,Hard.Scleractinia,Siderastreidae,family,Siderastrea,sidera,Photo estimates,Photo.Video,Field,Y,May-August,May-August,1996,1999,30,Jun,1999,30-Jun-99,poorly estimated,97/98,1998,,NA,Y,,,,Y,NA,25N,81W,25,25,-81,Atlantic,Western,Atlantic.Western,Atlantic.Western,Florida Keys,Figure 3a,Y,% cover,1.131,0.279,1.578,0.949,0.237,1.341,NA,,NA,NA,NA,NA,32,32,No,,0,4.0042,-73,2.7743,297,NA,26.229,8.2973,2.8805,29.884,8
33,35,Ruzicka et al. ,2013,19,Cover,Hard,Scleractinia,Hard.Scleractinia,Merulinidae,family,Orbicella,annularis,Photo estimates,Photo.Video,Field,Y,May-August,May-August,1996,1997,30,Jun,1997,30-Jun-97,poorly estimated,97/98,1998,,NA,Y,Y,,Y,,NA,25N,81W,25,25,-81,Atlantic,Western,Atlantic.Western,Atlantic.Western,Florida Keys,Figure 3a,Y,% cover,4.042,1.223,6.918,4.135,1.233,6.975,NA,,NA,NA,NA,NA,32,32,No,,0,4.0042,-803,0,29,NA,26.229,8.2973,2.8805,29.884,8
34,35,Ruzicka et al. ,2013,21,Cover,Hard,Scleractinia,Hard.Scleractinia,Merulinidae,family,Orbicella,annularis,Photo estimates,Photo.Video,Field,Y,May-August,May-August,1996,1999,30,Jun,1999,30-Jun-99,poorly estimated,97/98,1998,,NA,Y,,,,Y,NA,25N,81W,25,25,-81,Atlantic,Western,Atlantic.Western,Atlantic.Western,Florida Keys,Figure 3a,Y,% cover,4.042,1.223,6.918,3.022,0.872,4.933,NA,,NA,NA,NA,NA,32,32,No,,0,4.0042,-73,2.7743,297,NA,26.229,8.2973,2.8805,29.884,8
35,53,Obura and Mangubhai,2011,1,Cover,Hard,NA,Hard.NA,community,comm,NA,NA,Photo quadrats and visual estimates,Visual.Photo,Field,N,May-July,May-July,2000/2002,2005,15,May,2005,15-May-05,estimated,03-Feb,2003,,NA,Y,,,,Y,5-25 m,2.5-5S,170.1-174.8W,-3.117666667,3.117666667,-171.0927333,Pacific,Central,Pacific.Central,Pacific.Central,Phoenix Islands-Enderbury (Lone Palm),Table 3,N,% cover,77,4.47,10,42.8,6.26,19.8,NA,,NA,NA,NA,NA,5,10,No,"Lat/Long from http://phoenixislands.org/pdf/00589.02.pdf ""Coral reef structure and zonation of the Phoenix Islands (David Obura); Date extracted from abstract",0.17153,12.917,864,12.917,864,29.12,28.552,0.74881,0.86534,28.879,5
36,53,Obura and Mangubhai,2011,2,Cover,Hard,NA,Hard.NA,community,comm,NA,NA,Photo quadrats and visual estimates,Visual.Photo,Field,N,May-July,May-July,2000/2002,2005,15,May,2005,15-May-05,estimated,03-Feb,2003,,NA,Y,,,,Y,5-25 m,2.5-5S,170.1-174.8W,-3.147583333,3.147583333,-171.07935,Pacific,Central,Pacific.Central,Pacific.Central,Phoenix Islands-Enderbury (Southern Ocean),Table 3,N,% cover,20.7,3,6.7,35.8,11.9,23.8,NA,,NA,NA,NA,NA,5,4,No,"Lat/Long from http://phoenixislands.org/pdf/00589.02.pdf ""Coral reef structure and zonation of the Phoenix Islands (David Obura); Date extracted from abstract",0.17153,12.917,864,12.917,864,29.12,28.552,0.74881,0.86534,28.879,5
37,53,Obura and Mangubhai,2011,3,Cover,Hard,NA,Hard.NA,community,comm,NA,NA,Photo quadrats and visual estimates,Visual.Photo,Field,N,May-July,May-July,2000/2002,2005,15,May,2005,15-May-05,estimated,03-Feb,2003,,NA,Y,,,,Y,5-25 m,2.5-5S,170.1-174.8W,-2.813566667,2.813566667,-171.6957167,Pacific,Central,Pacific.Central,Pacific.Central,Phoenix Islands-Kanton (Coral Castles),Table 3,N,% cover,79.4,5.59,12.5,0,0,0,NA,,NA,NA,NA,NA,5,10,No,"Lat/Long from http://phoenixislands.org/pdf/00589.02.pdf ""Coral reef structure and zonation of the Phoenix Islands (David Obura); Date extracted from abstract",0.45484,13.121,864,13.121,864,29.08,28.531,0.77515,0.88043,28.789,5
